prediction,probability_not_sarcastic,probability_sarcastic,ground_truth,correct
1,0.45487902,0.54512095,1,True
0,0.80610204,0.19389799,1,False
0,0.6210166,0.37898335,0,True
1,0.40053937,0.5994606,0,False
1,0.37728757,0.62271243,1,True
1,0.38357586,0.61642414,1,True
1,0.3250411,0.6749589,1,True
1,0.39799482,0.6020052,1,True
1,0.3419876,0.6580124,1,True
0,0.6297095,0.37029052,1,False
1,0.0019242715,0.9980757,1,True
0,0.7367825,0.26321757,1,False
1,0.47881597,0.521184,0,False
0,0.8265376,0.17346236,0,True
1,0.25583866,0.74416137,1,True
0,0.9402103,0.05978968,0,True
0,0.83583534,0.16416463,1,False
0,0.7666364,0.23336363,1,False
1,0.37009224,0.6299077,1,True
0,0.9885662,0.011433842,0,True
1,0.17957485,0.8204252,1,True
1,0.43677533,0.56322473,1,True
0,0.7292888,0.27071115,0,True
0,0.73730385,0.26269612,0,True
0,0.87559116,0.124408826,0,True
0,0.79345095,0.20654899,0,True
0,0.9444012,0.05559873,0,True
0,0.7288745,0.2711255,0,True
0,0.85113245,0.14886755,0,True
1,0.29167825,0.70832175,1,True
0,0.8601128,0.1398872,0,True
1,0.08565186,0.9143481,1,True
0,0.64438945,0.3556105,0,True
0,0.8247802,0.17521979,0,True
1,0.1053178,0.89468217,1,True
0,0.928844,0.07115607,0,True
0,0.7291374,0.27086258,1,False
1,0.42040843,0.5795916,0,False
0,0.64982384,0.35017613,0,True
0,0.80617714,0.19382283,0,True
1,0.23397984,0.7660202,1,True
0,0.9025915,0.097408466,0,True
0,0.82900375,0.17099622,0,True
0,0.64654315,0.35345688,0,True
1,0.14638807,0.8536119,0,False
0,0.7275638,0.27243623,1,False
1,0.4238419,0.57615817,1,True
1,0.16826472,0.8317353,1,True
1,0.1026056,0.8973944,1,True
0,0.6435261,0.35647395,0,True
0,0.7226781,0.27732188,1,False
0,0.76556706,0.23443286,0,True
0,0.82918257,0.17081736,0,True
1,0.3247716,0.67522836,0,False
1,0.3503582,0.64964175,1,True
1,0.43970844,0.5602916,0,False
1,0.4240483,0.5759517,0,False
1,0.2699437,0.7300563,0,False
0,0.8603217,0.13967836,0,True
0,0.5136605,0.48633948,1,False
1,0.06574477,0.93425524,1,True
1,0.2152186,0.78478146,1,True
0,0.8869111,0.11308894,0,True
0,0.63930565,0.3606944,1,False
1,0.3567067,0.6432932,1,True
0,0.954495,0.04550502,0,True
1,0.35863,0.64137,1,True
0,0.90684545,0.09315456,0,True
0,0.7129056,0.28709444,1,False
1,0.12996924,0.87003076,1,True
0,0.7015891,0.29841086,0,True
0,0.83257467,0.16742527,0,True
1,0.19040753,0.8095925,1,True
1,0.006216132,0.99378383,1,True
0,0.9833719,0.016628016,0,True
0,0.7785227,0.22147736,0,True
0,0.80417496,0.19582509,0,True
1,0.3399169,0.6600831,1,True
1,0.27078748,0.72921246,1,True
0,0.60456246,0.39543757,1,False
1,0.0347083,0.96529174,1,True
0,0.5841898,0.41581014,1,False
0,0.61904186,0.3809582,0,True
1,0.23919736,0.7608027,1,True
0,0.9260023,0.073997654,0,True
1,0.38987514,0.6101249,1,True
1,0.46351314,0.5364869,0,False
0,0.79542935,0.20457071,0,True
0,0.61102444,0.38897556,1,False
0,0.7965902,0.20340978,0,True
0,0.7473081,0.25269192,0,True
1,0.12097757,0.8790225,1,True
1,0.10335459,0.89664537,1,True
0,0.767126,0.23287398,0,True
1,0.34903842,0.6509616,1,True
1,0.15777989,0.84222007,1,True
0,0.52815896,0.471841,1,False
0,0.55161726,0.4483827,0,True
1,0.36414084,0.63585913,1,True
1,0.42354366,0.5764563,0,False
1,0.16396564,0.83603436,1,True
0,0.6494323,0.35056764,0,True
1,0.34926212,0.65073794,0,False
1,0.32859665,0.67140335,0,False
0,0.5730636,0.42693645,1,False
1,0.28679135,0.7132087,0,False
0,0.54119575,0.45880428,1,False
0,0.55407524,0.44592476,0,True
0,0.55790913,0.4420908,0,True
0,0.65902305,0.34097692,0,True
0,0.7083096,0.29169047,0,True
1,0.35364547,0.64635444,1,True
1,0.15867874,0.84132123,1,True
1,0.14080594,0.85919404,0,False
0,0.7788519,0.22114812,1,False
1,0.26378837,0.7362116,1,True
1,0.34808573,0.6519143,1,True
1,0.16200387,0.8379962,1,True
1,0.24718454,0.7528154,1,True
0,0.6480621,0.35193792,1,False
0,0.8526873,0.14731276,0,True
0,0.79798734,0.20201267,0,True
1,0.06415189,0.93584806,1,True
1,0.2105026,0.7894974,1,True
1,0.2620125,0.7379875,1,True
1,0.4104787,0.5895213,0,False
0,0.90275306,0.09724693,0,True
0,0.8608297,0.13917026,0,True
0,0.68288696,0.31711304,0,True
1,0.23826298,0.76173705,1,True
1,0.4233075,0.57669246,1,True
1,0.16243258,0.83756745,1,True
1,0.2604019,0.73959816,1,True
1,0.26033744,0.7396626,1,True
1,0.19630821,0.8036918,1,True
0,0.9912579,0.0087421695,0,True
0,0.6003438,0.3996562,1,False
0,0.8621717,0.13782828,0,True
1,0.3512228,0.6487772,1,True
0,0.6811363,0.3188637,0,True
0,0.83080566,0.16919431,0,True
1,0.3370204,0.6629796,1,True
1,0.2299099,0.77009016,0,False
0,0.53587186,0.46412814,0,True
0,0.7631707,0.2368293,1,False
0,0.5596836,0.44031638,1,False
0,0.80731976,0.19268018,0,True
0,0.5887928,0.41120723,1,False
1,0.46339533,0.53660464,0,False
0,0.59803945,0.40196052,0,True
0,0.73504186,0.26495808,0,True
0,0.6005705,0.39942947,1,False
0,0.7357084,0.26429158,0,True
1,0.37352058,0.6264794,1,True
0,0.6701597,0.3298403,0,True
1,0.00481133,0.9951887,1,True
1,0.16279732,0.8372026,1,True
0,0.66716295,0.33283705,0,True
1,0.08053663,0.91946334,1,True
1,0.03404244,0.9659575,1,True
1,0.36054987,0.63945013,0,False
0,0.95984197,0.040158022,0,True
1,0.06494218,0.9350579,1,True
1,0.2984737,0.7015263,1,True
0,0.7514716,0.24852839,0,True
0,0.64247066,0.35752937,0,True
1,0.01182355,0.9881764,1,True
1,0.24810755,0.7518925,1,True
1,0.09810141,0.90189856,1,True
1,0.04213903,0.95786095,1,True
0,0.88928777,0.11071218,0,True
1,0.43649703,0.56350297,1,True
1,0.29038224,0.7096177,0,False
1,0.46451294,0.53548706,1,True
1,0.4714388,0.52856123,0,False
1,0.084739454,0.91526055,1,True
1,0.3965271,0.6034729,0,False
1,0.24739875,0.75260127,1,True
0,0.5402231,0.45977694,1,False
1,0.37626025,0.6237398,1,True
1,0.3089436,0.69105643,1,True
1,0.44992194,0.5500781,0,False
0,0.71127236,0.2887277,0,True
1,0.33340788,0.6665921,1,True
1,0.27437294,0.72562706,1,True
1,0.39035174,0.6096483,1,True
1,0.43688005,0.56312,1,True
1,0.2658203,0.7341797,0,False
0,0.7486239,0.25137612,0,True
1,0.0742531,0.92574686,1,True
1,0.46344844,0.53655154,1,True
0,0.8746094,0.12539054,0,True
0,0.8765314,0.12346856,0,True
0,0.84945244,0.15054749,0,True
1,0.32488218,0.67511785,1,True
1,0.13546777,0.86453223,1,True
1,0.25083515,0.7491649,1,True
0,0.6725605,0.32743943,1,False
0,0.9519526,0.0480474,0,True
1,0.38531208,0.6146879,0,False
0,0.7089839,0.2910161,0,True
0,0.5409839,0.4590161,0,True
1,0.07341665,0.9265833,1,True
0,0.9948035,0.0051964326,0,True
0,0.62410724,0.3758928,1,False
0,0.6678226,0.3321774,1,False
1,0.28963903,0.71036106,1,True
1,0.35514593,0.644854,1,True
0,0.96899194,0.031008,0,True
1,0.4057802,0.5942198,1,True
1,0.33694142,0.6630585,1,True
1,0.2104792,0.7895208,1,True
0,0.97734344,0.022656627,1,False
0,0.8962563,0.10374371,0,True
0,0.56717485,0.43282518,1,False
0,0.92896926,0.071030736,1,False
1,0.30203184,0.6979682,1,True
1,0.24586451,0.7541355,0,False
0,0.9233325,0.07666748,1,False
1,0.28333986,0.71666014,1,True
1,0.0030352876,0.99696475,1,True
0,0.6224172,0.37758276,1,False
0,0.8243748,0.17562516,0,True
0,0.86454237,0.1354576,0,True
0,0.9995041,0.0004958785,0,True
1,0.17867583,0.8213241,1,True
1,0.2862774,0.7137225,1,True
1,0.23443124,0.7655688,0,False
0,0.9017612,0.09823884,0,True
0,0.7098989,0.29010114,0,True
